"","X","mean","x","y","y_mod","siteid","month","fraction","fraction_mod","type"
"1",21,57.1702127659574,1.75716980849745,2.03423189326839,10.6017548075921,"Tororo","Jun 2013",0.441198362486044,0.232787495347972,"HBR"
"2",32,55.6185567010309,1.74521971475268,2.61224895512059,23.950153618547,"Tororo","May 2014",0.370342910101946,0.213901760889713,"HBR"
"3",33,36.96875,1.56783476630802,4.17134887814017,9.42311657567994,"Tororo","Jun 2014",0.294167371090448,0.237249929557622,"HBR"
"4",40,2.36263736263736,0.373397067594511,1.12410011622055,-4.47062691555473,"Tororo","Jan 2015",0.837209302325581,0.13953488372093,"HBR"
"5",19,1.228125,0.0892425720555207,1.19157570598123,127.304843282448,"Tororo","Apr 2013",0.772010178117048,0.202544529262087,"EIR"
"6",20,1.88729166666667,0.275839022282313,NA,NA,"Tororo","May 2013",NA,NA,"EIR"
"7",21,0.574942528735632,-0.240375565224135,NA,NA,"Tororo","Jun 2013",NA,NA,"EIR"
"8",23,0.170454545454545,-0.768391413094489,1,5.59450193999789,"Tororo","Aug 2013",1,0.266666666666667,"EIR"
"9",32,0.380756013745704,-0.419353228593497,1,12.1452773544464,"Tororo","May 2014",1,0.228339350180505,"EIR"
"10",34,0.396491228070175,-0.401766416525091,1.09708155016134,13.7795205696892,"Tororo","Jul 2014",0.867256637168142,0.224778761061947,"EIR"
"11",39,0,-Inf,NA,NA,"Tororo","Dec 2014",NA,NA,"EIR"
"12",40,0,-Inf,NA,NA,"Tororo","Jan 2015",NA,NA,"EIR"
"13",41,0,-Inf,NA,NA,"Tororo","Feb 2015",NA,NA,"EIR"
"14",42,0,-Inf,NA,NA,"Tororo","Mar 2015",NA,NA,"EIR"
"15",43,0.139904306220096,-0.85416891782523,NA,NA,"Kanungu","Oct 2011",NA,NA,"EIR"
"16",46,0.0103092783505155,-1.98677173426624,1,0,"Kanungu","Jan 2012",1,0,"EIR"
"17",48,0,-Inf,NA,NA,"Kanungu","Mar 2012",NA,NA,"EIR"
"18",52,0.0104166666666667,-1.98227123303957,1,0,"Kanungu","Jul 2012",1,0,"EIR"
"19",64,0.0210526315789474,-1.67669360962487,1,0,"Kanungu","Jul 2013",1,0,"EIR"
"21",79,0,-Inf,NA,NA,"Kanungu","Oct 2014",NA,NA,"EIR"
"22",80,0,-Inf,NA,NA,"Kanungu","Nov 2014",NA,NA,"EIR"
"23",81,0,-Inf,NA,NA,"Kanungu","Dec 2014",NA,NA,"EIR"
"24",82,0,-Inf,NA,NA,"Kanungu","Jan 2015",NA,NA,"EIR"
"25",83,0,-Inf,NA,NA,"Kanungu","Feb 2015",NA,NA,"EIR"
"26",84,0,-Inf,NA,NA,"Kanungu","Mar 2015",NA,NA,"EIR"
"27",85,0,-Inf,NA,NA,"Jinja","Oct 2011",NA,NA,"EIR"
"28",88,0,-Inf,NA,NA,"Jinja","Jan 2012",NA,NA,"EIR"
"29",89,0,-Inf,NA,NA,"Jinja","Feb 2012",NA,NA,"EIR"
"30",90,0.0104166666666667,-1.98227123303957,1,0,"Jinja","Mar 2012",1,0,"EIR"
"31",94,0,-Inf,NA,NA,"Jinja","Jul 2012",NA,NA,"EIR"
"32",95,0,-Inf,NA,NA,"Jinja","Aug 2012",NA,NA,"EIR"
"33",96,0,-Inf,NA,NA,"Jinja","Sep 2012",NA,NA,"EIR"
"34",97,0,-Inf,NA,NA,"Jinja","Oct 2012",NA,NA,"EIR"
"35",98,0,-Inf,NA,NA,"Jinja","Nov 2012",NA,NA,"EIR"
"36",99,0,-Inf,NA,NA,"Jinja","Dec 2012",NA,NA,"EIR"
"37",102,0,-Inf,NA,NA,"Jinja","Mar 2013",NA,NA,"EIR"
"38",103,0,-Inf,NA,NA,"Jinja","Apr 2013",NA,NA,"EIR"
"39",104,0,-Inf,NA,NA,"Jinja","May 2013",NA,NA,"EIR"
"40",105,0,-Inf,NA,NA,"Jinja","Jun 2013",NA,NA,"EIR"
"41",106,0,-Inf,NA,NA,"Jinja","Jul 2013",NA,NA,"EIR"
"42",107,0.0119047619047619,-1.92427928606188,1,0,"Jinja","Aug 2013",1,0,"EIR"
"43",108,0,-Inf,NA,NA,"Jinja","Sep 2013",NA,NA,"EIR"
"49",115,0,-Inf,NA,NA,"Jinja","Apr 2014",NA,NA,"EIR"
"50",117,0,-Inf,NA,NA,"Jinja","Jun 2014",NA,NA,"EIR"
"51",118,0.0106382978723404,-1.9731278535997,1,0,"Jinja","Jul 2014",1,0,"EIR"
"52",120,0.0106382978723404,-1.9731278535997,1,0,"Jinja","Sep 2014",1,0,"EIR"
"53",121,0.010752688172043,-1.96848294855394,1,0,"Jinja","Oct 2014",1,0,"EIR"
"54",122,0,-Inf,NA,NA,"Jinja","Nov 2014",NA,NA,"EIR"
"55",123,0,-Inf,NA,NA,"Jinja","Dec 2014",NA,NA,"EIR"
"56",124,0,-Inf,NA,NA,"Jinja","Jan 2015",NA,NA,"EIR"
"57",125,0,-Inf,NA,NA,"Jinja","Feb 2015",NA,NA,"EIR"
"58",126,0,-Inf,NA,NA,"Jinja","Mar 2015",NA,NA,"EIR"
